CEST,NCM/SH
100100,38151210
,38151290
100200,3917
100300,39181000
100400,39233000
100500,39263000
100600,40103
,59100000
100700,40169300
,4823909
100800,40161010
100900,40169990
,57050000
101000,59039000
101100,59090000
101200,63061
101300,65061000
101400,6813
101500,70071100
,70072100
101600,70091000
101700,70140000
101800,73110000
101900,73110000
102000,7320
102100,7325
102200,780600
102300,80070090
102400,830120
,830160
102500,830170
102600,83021000
,83023000
102700,831000
102800,84073
102900,840820
103000,84099
103100,84122
103200,841330
103300,84141000
103400,8414801
,8414802
103500,84139190
,84149010
,8414903
,84149039
103600,841520
103700,84212300
103800,84212990
103900,84219
104000,84241000
104100,84213100
104200,84213920
104300,84254200
104400,84311010
104500,8431492
104501,84339090
104600,84811000
104700,84812
104800,84818092
104900,8482
105000,8483
105100,8484
105200,850520
105300,850710
105400,8511
105500,851220
,851240
,85129000
105600,85171213
105700,8518
105800,85185000
105900,851981
106000,8525501
,85256010
106100,85272
106200,85272190
106201,85219090
106300,85291090
106400,853400
106500,853530
,853650
106600,85361000
106700,85362000
106800,85364
106900,8538
107000,853910
107100,85392
107200,85442000
107300,85443000
107400,8707
107500,8708
107600,87141
107700,87169090
107800,902610
107900,902620
108000,9029
108100,90303321
108200,90318040
108300,9032892
108400,91040000
108500,94012000
,94019090
108600,96138000
108700,4009
108800,45049000
,68129910
108900,48234000
109000,39191000
,39199000
,87082999
109100,84123110
109200,84131900
,84135090
,84138100
109300,84136019
,84137010
109400,84145910
,84145990
109500,84213990
109600,85011019
109700,85013110
109800,85045000
109900,850720
,850730
110000,85123000
110100,9032898
,9032899
110200,90271000
110300,40081100
110400,56012219
110500,57032000
110600,57033000
110700,59119000
110800,69039099
110900,70072900
111000,73145000
111100,73151100
111200,73151210
111300,84189900
111400,841950
111500,84249090
111600,84254910
111700,84314100
111800,85016100
111900,85311090
112000,90141000
112100,90251990
112200,90259010
112300,902690
112400,90321010
112500,90321090
112600,90322000
112700,871690
112800,73229010
199900,
200100,2205
,22089000
200200,22089000
200300,22089000
200400,220720
,22084000
200500,2205
,22060090
,22089000
200600,22082000
200700,22060090
,22089000
200800,22085000
200900,2205
,22060090
,22089000
201000,22087000
201100,22082000
201200,22084000
201300,22060090
201400,22089000
201500,22089000
201600,220830
201700,2205
201800,22086000
201900,22089000
202000,22089000
202100,22082000
202200,22060010
202300,2205
,22060090
,22089000
202400,2204
299900,2205
,2206
,2207
,2208
300100,22011000
300200,22011000
300300,22011000
300400,22011000
300500,22011000
300600,22019000
300700,22021000
300800,22029000
300900,22029000
301000,2202
301100,2202
301200,21069010
301300,22029000
,210690
301400,22029000
,210690
301500,22029000
,210690
301600,21069090
,210690
301700,210120
,22029000
301800,22029000
301900,22021000
302000,22029000
302100,22030000
302200,22029000
302300,22030000
400100,2402
400200,24031
500100,2523
600100,220710
600200,27101259
600300,27101251
600400,27101919
600500,27101911
600600,2710192
600700,2710193
600800,2710199
600900,27109
601000,2711
601100,27111910
601200,27111100
601300,27112100
601400,2713
601500,38260000
601600,3403
601700,27102000
700100,27160000
800100,40169990
800200,44170010
,44170090
800300,6804
800400,8201
800500,82022000
800600,82029100
800700,8202
800800,8203
800900,8204
801000,8205
801100,82060000
801200,820740
,820760
,820770
801300,8207
801400,8208
801500,82090011
801600,820900
801700,8211
801800,8213
801900,8467
802000,9015
802100,90172000
,901730
,901780
,90179090
802200,90251190
,90259010
802300,902519
,90259090
900100,8539
900200,8540
900300,85041000
900400,853650
900500,85437099
1000100,2522
1000200,3816001
,38245000
1000300,32149000
1000400,391000
1000500,3916
1000600,3917
1000700,3918
1000800,3919
1000900,3919
,3920
,3921
1001000,3921
1001100,3921
1001200,3921
1001300,3922
1001400,3924
1001500,39251000
1001600,392590
1001700,39251000
,392590
1001800,39252000
1001900,39253000
1002000,392690
1002100,4814
1002200,68101900
1002300,6811
1002400,6811
1002500,69010000
1002600,6902
1002700,6904
1002800,6905
1002900,69060000
1003000,6907
,6908
1003001,6907
,6908
1003100,6910
1003200,69120000
1003300,7003
1003400,7004
1003500,7005
1003600,70071900
1003700,70072900
1003800,7008
1003900,7016
1004000,72142000
1004100,73089010
1004200,72142000
1004300,7213
,73089010
1004400,72171090
,7312
1004500,72172010
1004501,72172090
1004600,7307
1004700,73083000
1004800,73084000
,730890
1004900,73084000
1005000,73089090
1005100,7310
1005200,73130000
1005300,7314
1005400,73151100
1005500,73151290
1005600,73158200
1005700,731700
1005800,7318
1005900,7323
1005901,7323
1006000,7324
1006100,7325
1006200,7326
1006300,7407
1006400,74111010
1006500,7412
1006600,7415
1006700,74182000
1006800,76071990
1006900,7608
1007000,76090000
1007100,7610
1007200,76152000
1007300,7616
1007400,83024100
1007500,8301
1007600,83021000
1007700,8307
1007800,8311
1007900,8481
1008000,7009
1100100,28289011
,28289019
,32064100
,34022000
,38089419
1100200,34012090
1100300,34012090
1100400,34022000
1100500,34022000
1100600,34022000
1100700,3402
1100800,38099190
1100900,39241000
,39249000
,68053010
,68053090
1101000,2207
,22089000
1101100,73231000
1101200,39232
1200100,8504
1200200,8516
1200300,8535
1200400,8536
1200500,8538
1200600,74130000
1200700,8544
,7605
,7614
1200800,8546
1200900,8547
1300100,3003
,3004
1300101,3003
,3004
1300102,3003
,3004
1300200,3003
,3004
1300201,3003
,3004
1300202,3003
,3004
1300300,3003
,3004
1300301,3003
,3004
1300302,3003
,3004
1300400,3003
,3004
1300401,3003
,3004
1300402,3003
,3004
1300500,30066000
1300501,30066000
1300600,2936
1300700,300630
1300701,300630
1300800,3002
1300801,3002
1300900,3002
1300901,3002
1301000,30051010
1301001,30051010
1301100,3005
1301101,30051090
1301200,40151100
,40151900
1301300,40141000
1301400,901831
1301500,9018321
1301600,39269090
,90189099
1400100,7013
1400200,70133700
1400300,70134290
1400400,3919
,3920
,3921
1400500,3924
1400600,39241000
1400700,69111010
1400800,69111090
1400900,69120000
1401000,69120000
1401100,4823209
1401200,48236
1401300,48131000
1500100,3919
,3920
,3921
1500200,3924
1500300,39241000
1500400,39232
1600100,40111000
1600200,4011
1600300,40114000
1600400,4011
1600500,40115000
1600600,40121
1600700,401290
1600701,401290
1600800,4013
1600900,40132000
1700100,17049010
1700200,18063110
,18063120
1700300,18063210
,18063220
1700400,18069000
1700500,17049010
,18069000
1700501,18069000
1700600,18069000
1700601,18061000
1700700,18069000
1700800,17049090
1700900,18069000
1701000,2009
1701100,20098
1701200,4021
,4022
,4029
1701300,19011020
1701400,19011010
1701500,19011090
,19011030
1701600,4011010
,4012010
1701601,4011010
,4012010
1701700,4014010
,4015010
1701701,4014010
,4015010
1701800,4011090
,4012090
1701801,4011090
,4012090
1701900,401402
,4022130
,4022930
,4029
1701901,401402
,4022130
,4022930
,4029
1701902,40110
,40120
,40150
,40210
,4022920
1702000,4029
1702001,4029
1702100,403
1702101,403
1702200,4039000
1702300,406
1702301,406
1702400,406
1702401,4061010
1702402,4061090
1702403,4061090
1702404,4061090
1702500,4051000
1702501,4051000
1702502,4059090
1702600,15171000
1702700,15171000
1702701,15171000
1702702,151790
1702800,15162000
1702801,15162000
1702900,19019020
1703000,19041000
,19049000
1703100,19059090
1703200,20052000
,20059
1703300,20081
1703301,20081
1703400,21032010
1703500,21039021
,21039091
1703600,21031010
1703700,21033010
1703800,21033021
1703900,21039011
1704000,2002
1704100,21032010
1704200,17049090
,19042000
,19049000
1704300,18063120
,18063220
,18069000
1704400,11010010
1704401,11010010
1704402,11010010
1704403,11010010
1704404,11010010
1704405,11010010
1704406,11010010
1704407,11010010
1704408,11010010
1704409,11010010
1704500,11010020
1704600,19012000
,19019090
1704601,19012000
,19019090
1704700,19023000
1704800,1902
1704801,19024000
1704900,19021
1704901,19021
1704902,19021
1705000,190520
1705100,19052090
1705200,19052010
1705300,19053100
1705301,19053100
1705302,19053100
1705400,19053100
1705401,19053100
1705402,19053100
1705500,190531
1705600,19059020
1705601,19059020
1705602,19059020
1705700,19053200
1705800,19053200
1705900,19054000
1706000,19059010
1706100,19059020
1706200,19059090
1706300,19051000
1706400,190590
1706500,15079011
1706600,1508
1706700,1509
1706701,1509
1706702,1509
1706800,15100000
1706900,15121911
,15122910
1707000,15141
1707100,15151900
1707200,15152910
1707300,15122990
1707400,15179010
1707500,1511
,1513
,1514
,1515
,1516
,1518
1707600,16010000
1707700,16010000
1707800,16010000
1707900,1602
1708000,1604
1708100,1604
1708200,1605
1708300,2102000
,2109900
,1502
1708400,201
,202
,204
,206
1708500,204
1708600,2109900
,15021019
,15029000
1708700,207
,209
,2109900
,1501
1708701,203
,206
,209
,2101
,2109900
,1501
1708800,710
1708801,710
1708900,811
1708901,811
1709000,2001
1709001,2001
1709100,2004
1709101,2004
1709200,2005
1709201,2005
1709300,20060000
1709301,20060000
1709400,2007
1709401,2007
1709500,2008
1709501,2008
1709600,901
1709601,901
1709602,901
1709603,901
1709700,902
,12119090
,21069090
1709800,90300
1709900,17011
,17019900
1709901,17011
,17019900
1709902,17011
,17019900
1710000,17019100
1710001,17019100
1710002,17019100
1710100,17011
,17019900
1710101,17011
,17019900
1710102,17011
,17019900
1710200,17019100
1710201,17019100
1710202,170191
1710300,17011
,17019900
1710301,17011
,17019900
1710302,17011
,17019900
1710400,17019100
1710401,17019100
1710402,17019100
1710500,1702
1710501,1702
1710502,1702
1710600,20081900
1710700,21011
1710800,210120
1710900,19019090
,21011190
,21011200
1711000,22021000
1711100,22021000
1711200,22029000
1711300,210120
,22029000
1711400,22029000
1711500,22029000
1800100,69111010
1800200,69111090
1800300,69120000
1800400,69120000
1900100,32131000
1900200,39162000
1900300,39161000
,391690
1900400,39261000
1900500,42021
,42029
1900501,42021
,42029
1900600,39269090
1900700,48022090
,48119090
1900800,4802549
1900900,48025499
,48025799
,48162000
1901000,4802569
,4802579
,4802589
1901100,37031010
,37031029
,37032000
,37039010
,37040000
,48022000
1901200,48101390
1901300,48169010
1901400,39202019
1901500,48062000
1901600,48081000
1901700,48102290
1901800,4809
,4816
1901900,4817
1902000,48201000
1902100,48202000
1902200,48203000
1902300,48204000
1902400,48205000
1902500,48209000
1902600,49090000
1902700,96081000
1902800,96082000
1902900,96083000
1903000,9608
1903100,480256
1903200,52105990
1903300,76071190
2000100,12119090
2000101,12119090
2000200,27121000
2000300,28142000
2000400,28470000
2000500,30067000
2000600,3301
2000700,33030010
2000800,33030020
2000900,33041000
2001000,33042010
2001100,33042090
2001200,33043000
2001300,33049100
2001400,33049910
2001500,33049990
2001600,33049990
2001700,33051000
2001800,33052000
2001900,33053000
2002000,33059000
2002100,33059000
2002200,33059000
2002300,33061000
2002400,33062000
2002500,33069000
2002600,33071000
2002700,33072010
2002800,33072010
2002900,33072090
2003000,33072090
2003100,33073000
2003200,33079000
2003201,33079000
2003300,33079000
2003400,34011190
2003500,34011900
2003600,34012010
2003700,34013000
2003800,40149010
2003900,40149090
2004000,39249000
,39269040
,39269090
2004100,42021
2004200,48181000
2004300,48181000
2004400,48182000
2004500,48182000
2004600,48183000
2004700,48189090
2004800,96190000
2004900,96190000
2005000,96190000
2005100,56012190
2005200,56039290
2005300,82032090
2005400,82141000
2005500,82142000
2005600,90251110
,90251990
2005700,96032
2005800,96032100
2005900,96033000
2006000,96050000
2006100,9615
2006200,96162000
2006300,39233000
,39249000
,39241000
,40149090
,70102000
2006400,82121020
,82122010
2100100,73211100
,73218100
,73219000
2100200,84181000
2100300,84182100
2100400,84182900
2100500,84183000
2100600,84184000
2100700,841850
2100800,8418699
2100900,84186999
2101000,84189900
2101100,842112
2101200,84211990
2101300,84186931
2101400,84219
2101500,84221100
,84229010
2101600,844331
2101700,844332
2101800,84439
2101900,84501100
2102000,84501200
2102100,84501900
2102200,845020
2102300,845090
2102400,84512100
2102500,84512990
2102600,845190
2102700,84521000
2102800,847130
2102900,84714
2103000,84715010
2103100,8471605
2103200,84716090
2103300,847170
2103400,847190
2103500,847330
2103600,85043
2103700,85044010
2103800,85044040
2103900,85078000
2104000,8508
2104100,8509
2104200,85098010
2104300,85161000
2104400,85164000
2104500,85165000
2104600,85166000
2104700,85166000
2104800,85167100
2104900,85167200
2105000,851679
2105100,85169000
2105200,85171100
2105300,8517123
2105301,85171231
2105400,851712
2105500,85171891
2105501,85171899
2105600,8517625
2105700,8518
2105800,8519
,8522
,85271
2105900,85198190
2106000,85219010
2106100,85219090
2106200,85235110
2106300,85235200
2106400,85235200
2106500,8525802
2106600,85279
2106700,85284929
,85285920
,852869
2106701,85286100
2106800,85285120
2106900,85287
2107000,85287
2107100,85287
2107200,85287
2107300,85287
2107400,900610
2107500,90064000
2107600,90189050
2107700,90191000
2107800,90328911
2107900,95045000
2108000,8517621
2108100,85176222
2108200,85176239
2108300,8517624
2108400,85176262
2108500,8517629
2108600,85177021
2108700,821490
,8510
2108800,84145
2108900,84145990
2109000,84146000
2109100,84149020
2109200,841510
,84158
2109300,84151011
2109400,84151019
2109500,84151090
2109600,84159010
2109700,84159020
2109800,84212100
2109801,84212100
2109900,84243010
,84243090
,84249090
2110000,84672100
2110100,85162
2110200,85163100
2110300,85163200
2110400,8527
2110500,84796000
2110600,84159090
2110700,85258019
2110800,84231000
2110900,8540
2111000,8517
2111100,8517
2111200,8529
2111300,8531
2111400,853110
2111500,85318000
2111600,853400
2111700,85414011
,85414021
,85414022
2111800,85437092
2111900,90303
2112000,903089
2112100,910700
2112200,9405
2112300,940510
,94059
2112400,94052000
,94059
2112500,940540
,94059
2112600,85423190
2200100,2309
2300100,210500
2300200,1806
,1901
,2106
2400100,3208
,3209
,321000
2400200,2821
,32041700
,3206
2400300,3204
,32050000
,3206
,3212
2500100,87021000
2500200,87029090
2500300,87032100
2500400,87032210
2500500,87032290
2500600,87032310
2500700,87032390
2500800,87032410
2500900,87032490
2501000,87033210
2501100,87033290
2501200,87033310
2501300,87033390
2501400,87042110
2501500,87042120
2501600,87042130
2501700,87042190
2501800,87043110
2501900,87043120
2502000,87043130
2502100,87043190
2600100,8711
2700100,7009
2700200,7013
2700300,70133700
2700400,70134290
2800100,33030010
2800200,33030020
2800300,33041000
2800400,33042010
2800500,33042090
2800600,33043000
2800700,33049100
2800800,33049910
2800900,33049990
2801000,33049990
2801100,33051000
2801200,33052000
2801300,33059000
2801400,33059000
2801500,33071000
2801600,33072010
2801700,33072090
2801800,33079000
2801900,33079000
2802000,34011190
2802100,34011900
2802200,34012010
2802300,34013000
2802400,48142000
2802401,48182000
2802500,82141000
2802501,82141000
2802502,82141000
2802600,82142000
2802700,96032900
2802800,96033000
2802900,96161000
2803000,96162000
2803100,42021
2803200,9615
2803300,39233000
,39249000
,39241000
,40149090
,70202000
2803400,40149090
2803500,12119090
2803600,39262000
2803700,39264000
2803800,39269090
2803900,42022210
2804000,42022220
2804100,42022900
2804200,42023900
2804300,42029200
2804400,42029900
2804500,48192000
2804600,48194000
2804700,48211000
2804800,49111090
2804900,61159900
2805000,62171000
2805100,63026000
2805200,63079090
2805300,65069900
2805400,95059000
2805500,33
2805600,33
,34
2805700,14
,39
,40
,44
,48
,63
,64
,65
,67
,70
,82
,90
,96
2805800,39
,42
,48
,52
,61
,71
,83
,90
,91
2805900,61
,62
,64
2806000,42
,52
,55
,58
,63
,65
2806100,39
,40
,52
,56
,62
,63
,66
,69
,70
,73
,76
,82
,83
,84
,91
,94
,96
2806200,13
,15
,23
2806300,22
,27
,28
,29
,33
,34
,35
,38
,39
,63
,68
,73
,84
,85
,96
2806400,39
2899900,96
,95
,49
